name,nDCG@10,AP@100,RR@10,nDCG@10 +,nDCG@10 -,nDCG@10 p-value,nDCG@10 reject,nDCG@10 p-value corrected,AP@100 +,AP@100 -,AP@100 p-value,AP@100 reject,AP@100 p-value corrected,RR@10 +,RR@10 -,RR@10 p-value,RR@10 reject,RR@10 p-value corrected
BM25,0.7675736488118933,0.7269776599884804,0.7583964285714236,926.0,2655.0,1.3193090629892297e-215,True,1.0554472503913838e-214,987.0,2834.0,5.845142527489572e-191,True,4.676114021991658e-190,694.0,2099.0,1.1823343118879256e-161,True,9.458674495103405e-161
BM25 >> Convex,0.8410181481681979,0.8040570481349996,0.8341856349206309,,,,False,,,,,False,,,,,False,
BM25 >> Convex_MM,0.8422102489917684,0.8051729177786954,0.8355736111111067,542.0,433.0,0.010300438356473351,False,0.08240350685178681,730.0,605.0,0.05212236692448584,False,0.4169789353958867,304.0,240.0,0.0316747191163878,False,0.2533977529311024
BM25 >> Convex_Z,0.841779559841726,0.8046812929699637,0.8347776984126946,707.0,632.0,0.22402198920275954,False,1.0,895.0,807.0,0.42127656860288565,False,1.0,413.0,384.0,0.4966275689729017,False,1.0
BM25 >> Reciprocal,0.827985112846771,0.788571310996623,0.819124801587297,710.0,1526.0,3.233555280294529e-35,True,2.586844224235623e-34,812.0,1727.0,7.547108077839911e-33,True,6.037686462271929e-32,496.0,1055.0,2.653949506007785e-25,True,2.123159604806228e-24
BM25 >> Condorcet,0.8211621563301004,0.7831147485833613,0.8147138888888832,800.0,1277.0,2.423454430995385e-53,True,1.938763544796308e-52,952.0,1439.0,1.267281777809735e-46,True,1.013825422247788e-45,497.0,850.0,1.8874189547341272e-35,True,1.5099351637873017e-34
BM25 >> ISR,0.8235828549293961,0.7836821794634639,0.812773055555551,762.0,1712.0,9.090260314922885e-50,True,7.272208251938308e-49,835.0,1919.0,1.887064651153827e-45,True,1.5096517209230616e-44,533.0,1228.0,1.4312715611863385e-39,True,1.1450172489490708e-38
BM25 >> combMNZ,0.8199550771513788,0.7802213809423237,0.811095515873011,843.0,1415.0,9.094025800893796e-58,True,7.275220640715037e-57,996.0,1572.0,7.489982044074438e-54,True,5.99198563525955e-53,566.0,988.0,5.132533361548275e-43,True,4.10602668923862e-42
