name,nDCG@10,AP(rel=2)@100,RR(rel=2)@10,nDCG@10 +,nDCG@10 -,nDCG@10 p-value,nDCG@10 reject,nDCG@10 p-value corrected,AP(rel=2)@100 +,AP(rel=2)@100 -,AP(rel=2)@100 p-value,AP(rel=2)@100 reject,AP(rel=2)@100 p-value corrected,RR(rel=2)@10 +,RR(rel=2)@10 -,RR(rel=2)@10 p-value,RR(rel=2)@10 reject,RR(rel=2)@10 p-value corrected
BM25,0.4936273783432555,0.2752817555632521,0.61467519106408,13.0,40.0,4.799152105677134e-05,True,0.0003839321684541707,10.0,41.0,5.9539475046574215e-06,True,4.763158003725937e-05,8.0,23.0,0.002177517658019907,True,0.017420141264159257
BM25 >> Convex,0.6412240978556997,0.39012347495643,0.8031305114638448,,,,False,,,,,False,,,,,False,
BM25 >> Convex_MM,0.654585195187625,0.3972016213449426,0.8051440329218108,27.0,19.0,0.11779054158337252,False,0.9423243326669801,21.0,22.0,0.21575972517068948,False,1.0,5.0,8.0,0.9265131676208129,False,1.0
BM25 >> Convex_Z,0.6522606696226296,0.39566029683215465,0.8313492063492065,26.0,13.0,0.0705234077231475,False,0.56418726178518,22.0,20.0,0.09192247031473148,False,0.7353797625178519,5.0,1.0,0.08978910811931123,False,0.7183128649544899
BM25 >> Reciprocal,0.6412240978556997,0.39066971509705783,0.8031305114638448,0.0,0.0,,False,,21.0,9.0,0.041279548119353845,False,0.33023638495483076,0.0,0.0,,False,
BM25 >> Condorcet,0.5923457163746654,0.3394937027249258,0.7141975308641976,24.0,28.0,0.03488649884281233,False,0.27909199074249863,17.0,32.0,0.006514375409766587,False,0.0521150032781327,7.0,13.0,0.04359321514520867,False,0.34874572116166935
BM25 >> ISR,0.5922772415495368,0.3531463064938797,0.7563492063492063,17.0,33.0,0.004616187797585837,True,0.03692950238068669,13.0,36.0,0.0023030450935336293,True,0.018424360748269034,5.0,14.0,0.16494775574006215,False,1.0
BM25 >> combMNZ,0.5966050733019101,0.3413449397552424,0.7279541446208114,21.0,29.0,0.04308905824046021,False,0.34471246592368165,15.0,34.0,0.0068328583907163445,False,0.054662867125730756,6.0,12.0,0.08144116877814543,False,0.6515293502251635
