name,nDCG@10,AP@100,RR@10,nDCG@10 +,nDCG@10 -,nDCG@10 p-value,nDCG@10 reject,nDCG@10 p-value corrected,AP@100 +,AP@100 -,AP@100 p-value,AP@100 reject,AP@100 p-value corrected,RR@10 +,RR@10 -,RR@10 p-value,RR@10 reject,RR@10 p-value corrected
BM25,0.14706895101595713,0.0972776326824269,0.253742857142857,209.0,255.0,0.006090091635416063,True,0.048720733083328506,301.0,421.0,0.0004152592523251606,True,0.003322074018601285,159.0,212.0,0.0033930273579313983,True,0.027144218863451187
BM25 >> Convex,0.15513100922662018,0.10424777162708088,0.2752436507936504,,,,False,,,,,False,,,,,False,
BM25 >> Convex_MM,0.1500151957835823,0.10131505248545393,0.2664964285714284,101.0,170.0,1.3529168699619914e-05,True,0.00010823334959695931,252.0,348.0,8.755699681652421e-06,True,7.004559745321937e-05,72.0,112.0,0.003992887879641806,True,0.03194310303713445
BM25 >> Convex_Z,0.15696135778637055,0.10506474443073703,0.2780388888888886,98.0,74.0,0.00927748005206198,False,0.07421984041649583,260.0,229.0,0.05454202363530651,False,0.4363361890824521,61.0,44.0,0.1259625875472465,False,1.0
BM25 >> Reciprocal,0.15107235642811162,0.10214385848380504,0.26937063492063484,170.0,182.0,0.013045330505614797,False,0.10436264404491838,319.0,360.0,0.06670859289315385,False,0.5336687431452308,128.0,129.0,0.19943704058335518,False,1.0
BM25 >> Condorcet,0.14917847290053485,0.10123437841929486,0.2675674603174602,181.0,178.0,0.001142927653339287,True,0.009143421226714295,362.0,319.0,0.007461672219039212,False,0.059693377752313696,142.0,123.0,0.09444464824333122,False,0.7555571859466498
BM25 >> ISR,0.14876742372245486,0.09963160952940447,0.26501984126984107,168.0,233.0,0.00251309134488095,True,0.0201047307590476,263.0,429.0,0.0011444108594914632,True,0.009155286875931706,125.0,184.0,0.052885306261327966,False,0.42308245009062373
BM25 >> combMNZ,0.14914112866136944,0.10112535470037623,0.27132063492063474,174.0,192.0,0.001185587867321677,True,0.009484702938573416,343.0,339.0,0.010016022142095966,False,0.08012817713676773,139.0,128.0,0.4116494632557909,False,1.0
