name,nDCG@10,AP@100,RR@10,nDCG@10 +,nDCG@10 -,nDCG@10 p-value,nDCG@10 reject,nDCG@10 p-value corrected,AP@100 +,AP@100 -,AP@100 p-value,AP@100 reject,AP@100 p-value corrected,RR@10 +,RR@10 -,RR@10 p-value,RR@10 reject,RR@10 p-value corrected
BM25,0.27950157508283674,0.25238386710601,0.28484758871701527,130.0,296.0,1.5944527461120324e-15,True,1.2755621968896259e-14,197.0,365.0,1.7152937200845383e-13,True,1.3722349760676306e-12,117.0,262.0,6.541988787611498e-14,True,5.233591030089199e-13
BM25 >> Convex,0.3187535726336157,0.28898249019540156,0.3311103528460216,,,,False,,,,,False,,,,,False,
BM25 >> Convex_MM,0.31846198606629694,0.2895089128454232,0.3311323425336164,35.0,31.0,0.5567993243711082,False,1.0,118.0,77.0,0.24566110528063181,False,1.0,24.0,21.0,0.9709845744849966,False,1.0
BM25 >> Convex_Z,0.3190479557862565,0.29000553215296343,0.33075042968355073,89.0,89.0,0.827949197393388,False,1.0,191.0,155.0,0.4867701905404226,False,1.0,64.0,68.0,0.843450324541259,False,1.0
BM25 >> Reciprocal,0.31142139804853075,0.2801372492846573,0.32160575270447883,104.0,220.0,0.004540156257892316,True,0.03632125006313853,168.0,318.0,0.0015341807839568914,True,0.012273446271655131,87.0,179.0,0.005420159952481762,True,0.043361279619854094
BM25 >> Condorcet,0.30577703721905514,0.2791100741905179,0.31736199575371543,146.0,161.0,6.374125725564815e-05,True,0.0005099300580451852,250.0,224.0,0.002591025506724865,True,0.02072820405379892,129.0,133.0,0.0012198435013321396,True,0.009758748010657117
BM25 >> ISR,0.3091402444981632,0.2782709221792806,0.31940653118997064,104.0,226.0,0.0005577097611604864,True,0.004461678089283891,160.0,329.0,0.00032192230826793444,True,0.0025753784661434755,87.0,182.0,0.001372629837365029,True,0.010981038698920233
BM25 >> combMNZ,0.30521116094914036,0.27798601892724123,0.3152535132949145,151.0,178.0,3.569098754513171e-05,True,0.00028552790036105366,253.0,238.0,0.0014409180819500503,True,0.011527344655600402,129.0,149.0,0.000319970669244021,True,0.002559765353952168
