name,nDCG@10,AP@100,RR@10,nDCG@10 +,nDCG@10 -,nDCG@10 p-value,nDCG@10 reject,nDCG@10 p-value corrected,AP@100 +,AP@100 -,AP@100 p-value,AP@100 reject,AP@100 p-value corrected,RR@10 +,RR@10 -,RR@10 p-value,RR@10 reject,RR@10 p-value corrected
BM25,0.32221949931359506,0.14357920065446153,0.5343776106934003,78.0,93.0,0.029162717342382113,False,0.2333017387390569,86.0,120.0,0.08362634881006789,False,0.6690107904805431,40.0,49.0,0.6522855273554671,False,1.0
BM25 >> Convex,0.33512845236846384,0.149321621669262,0.5402943633593789,,,,False,,,,,False,,,,,False,
BM25 >> Convex_MM,0.33553411343596373,0.15027882374593413,0.5413865546218488,37.0,29.0,0.7323149993146214,False,1.0,91.0,62.0,0.011600284505775492,False,0.09280227604620393,12.0,6.0,0.7621505767480714,False,1.0
BM25 >> Convex_Z,0.335022964035895,0.14995927440974105,0.5411887562042362,27.0,20.0,0.9178314669821164,False,1.0,82.0,58.0,0.03729991170255232,False,0.29839929362041856,9.0,5.0,0.8030718368252661,False,1.0
BM25 >> Reciprocal,0.3305679970463358,0.14740828441134615,0.5509828492800629,55.0,88.0,0.10982691615600129,False,0.8786153292480103,86.0,110.0,0.253074444189897,False,1.0,30.0,23.0,0.16607583398624146,False,1.0
BM25 >> Condorcet,0.32884014898132913,0.1460344093048361,0.5444849869772473,56.0,84.0,0.05440204974644702,False,0.4352163979715762,85.0,107.0,0.04708654986911739,False,0.3766923989529391,27.0,25.0,0.5903421645984905,False,1.0
BM25 >> ISR,0.33005808230929556,0.14943786505551626,0.5381222664504399,67.0,94.0,0.13153351349949371,False,1.0,84.0,117.0,0.9509364225815671,False,1.0,27.0,34.0,0.8010656919095874,False,1.0
BM25 >> combMNZ,0.329022862337196,0.14676436475483343,0.5488979802447295,61.0,85.0,0.052636275455667736,False,0.4210902036453419,84.0,110.0,0.13740912306847292,False,1.0,29.0,24.0,0.27643822949758395,False,1.0
